,symbol,expiry,strike,bid_price_call,ask_price_call,mid_price_call,last_price_call,volume_call,ib_bid_delta_call,implied_vol_mid_point_call,mid_point_delta_call,bid_price_put,ask_price_put,mid_price_put,last_price_put,volume_put,ib_bid_delta_put,implied_vol_mid_point_put,mid_point_delta_put,und_price,tte
10,GME,2021-06-11,227.5,45.1,47.5,46.3,,2.0,0.9633775412256641,1.8574725089867394,0.9066857789900145,1.54,1.97,1.755,1.65,96.0,-0.07460343192320966,1.8517847429323773,-0.09154852057130458,272.0,0.005928853754940711
11,GME,2021-06-11,230.0,42.8,45.2,44.0,44.8,43.0,0.9522018710494152,1.8263956395124636,0.8966985698509231,1.75,2.13,1.94,1.95,393.0,-0.08600329489509187,1.8178103622758746,-0.10107700991512236,272.0,0.005928853754940711
12,GME,2021-06-11,232.5,40.5,42.85,41.675,54.1,5.0,0.9363202808889906,1.783887647920896,0.8870596691285528,1.96,2.37,2.165,2.5,28.0,-0.08807658068893753,1.789069956962841,-0.1121413306685195,272.0,0.005928853754940711
13,GME,2021-06-11,235.0,38.25,40.6,39.425,,,0.9219289342083076,1.7549218003684548,0.8748516010952381,2.19,2.64,2.415,2.53,181.0,-0.09934802438128273,1.7605138860935494,-0.12428799928189138,272.0,0.005928853754940711
14,GME,2021-06-11,237.5,36.05,38.6,37.325,45.41,3.0,0.9023298214666383,1.7523846775522829,0.8582908929252624,2.38,2.96,2.67,2.81,45.0,-0.11703652524095469,1.7272376814373631,-0.13700167606156133,272.0,0.005928853754940711
15,GME,2021-06-11,240.0,34.5,36.15,35.325,35.95,51.0,0.8849778640244733,1.7600181421102072,0.8392398753925634,2.77,3.35,3.06,3.2,1014.0,-0.1360952006130063,1.7159616938198594,-0.1536378093643609,272.0,0.005928853754940711
16,GME,2021-06-11,242.5,32.0,33.95,32.975,,6.0,0.8677122707836905,1.6922771989916392,0.8279698418522337,3.15,3.8,3.4749999999999996,3.36,45.0,-0.14582445739271976,1.7010681407364039,-0.17115130626975839,272.0,0.005928853754940711
17,GME,2021-06-11,245.0,29.8,31.95,30.875,30.61,6.0,0.8490738395193775,1.6665191324571043,0.8102640647765205,3.55,4.0,3.775,4.1,229.0,-0.16688926624896253,1.6579237686402877,-0.18656408253617762,272.0,0.005928853754940711
18,GME,2021-06-11,247.5,27.8,29.9,28.85,,,0.8237491431647992,1.6464221943718909,0.790442525869048,4.05,4.85,4.449999999999999,4.4,117.0,-0.18676218766338937,1.6724852414201539,-0.21036480868104235,272.0,0.005928853754940711
19,GME,2021-06-11,250.0,26.35,28.05,27.200000000000003,26.0,256.0,0.7953213965856917,1.6772551035372811,0.7635092570621851,4.65,5.25,4.95,5.0,1362.0,-0.21326143808553505,1.6482599399711202,-0.23088939356894755,272.0,0.005928853754940711
20,GME,2021-06-11,252.5,24.1,26.2,25.15,25.0,3.0,0.7688476306464318,1.6362226769790287,0.7432685867094575,5.3,6.15,5.725,5.6,40.0,-0.23384742510454462,1.6577207889316352,-0.25639713396360886,272.0,0.005928853754940711
21,GME,2021-06-11,255.0,22.3,24.4,23.35,24.2,24.0,0.740778005449399,1.624663293146442,0.7185213127682112,6.0,6.9,6.45,6.45,142.0,-0.26182603559447387,1.6496826772009032,-0.28112623879266563,272.0,0.005928853754940711
22,GME,2021-06-11,257.5,20.65,22.65,21.65,,3.0,0.7063152925785426,1.618093255178097,0.6921630771820325,6.5,7.75,7.125,7.2,67.0,-0.293805851881317,1.6260882282692661,-0.3056714730745139,272.0,0.005928853754940711
23,GME,2021-06-11,260.0,19.1,20.9,20.0,20.8,121.0,0.6751710494190472,1.609085690002531,0.664990841770834,7.65,8.65,8.15,8.5,407.0,-0.3269642136446188,1.640727878759909,-0.3342284748224894,272.0,0.005928853754940711
24,GME,2021-06-11,262.5,18.15,19.5,18.825,18.5,15.0,0.6435068520940214,1.6516239972923723,0.6342511332405261,8.55,9.5,9.025,9.0,53.0,-0.358513271753129,1.626118430098701,-0.36146077317131065,272.0,0.005928853754940711
25,GME,2021-06-11,265.0,16.15,17.85,17.0,18.07,54.0,0.6093768441355175,1.6022332700272346,0.6075803797105334,9.6,10.6,10.1,9.95,217.0,-0.3904225321173043,1.6279487936889994,-0.39024473249343894,272.0,0.005928853754940711
26,GME,2021-06-11,267.5,14.8,16.6,15.700000000000001,15.5,33.0,0.575066307005724,1.6096743731918348,0.5779177518171831,10.7,11.7,11.2,11.55,113.0,-0.4239708802813509,1.6237039377469717,-0.4191850296120523,272.0,0.005928853754940711
27,GME,2021-06-11,270.0,13.75,15.1,14.425,14.15,270.0,0.5416894041392704,1.6108720101712386,0.548359506903976,12.0,13.25,12.625,12.95,580.0,-0.4583103487112091,1.6498152034829183,-0.44847403068524117,272.0,0.005928853754940711
28,GME,2021-06-11,272.5,12.8,13.55,13.175,13.29,131.0,0.5089836238559332,1.606126830513855,0.5187373125196775,13.0,14.35,13.675,14.15,199.0,-0.49245693379652544,1.6218233097355623,-0.47776078774203934,272.0,0.005928853754940711
29,GME,2021-06-11,275.0,12.0,12.5,12.25,11.98,460.0,0.475899367631894,1.6314968569216084,0.49022501106726146,14.45,15.75,15.1,15.32,407.0,-0.5258592241071616,1.6301668958229292,-0.5066328135583212,272.0,0.005928853754940711
30,GME,2021-06-11,277.5,10.25,11.8,11.025,11.45,88.0,0.44413594189623007,1.6123032681527287,0.46049770259504413,15.85,17.45,16.65,15.52,109.0,-0.5598979620734014,1.64495335589899,-0.5345822909503082,272.0,0.005928853754940711
31,GME,2021-06-11,280.0,9.45,10.45,9.95,9.5,526.0,0.4144163016130241,1.6024778282936938,0.43123418353818893,17.2,18.75,17.975,17.11,419.0,-0.5856600597524789,1.6242873745053472,-0.5640357932339017,272.0,0.005928853754940711
32,GME,2021-06-11,282.5,8.55,9.8,9.175,8.75,86.0,0.38557379921838975,1.6208795172833916,0.40474681182476574,18.95,20.65,19.799999999999997,19.75,75.0,-0.6247386060824268,1.6561379119461137,-0.5891604915058125,272.0,0.005928853754940711
33,GME,2021-06-11,285.0,7.95,8.75,8.35,8.0,602.0,0.35678751279146914,1.6253245916792647,0.37809811702612023,20.65,22.4,21.525,21.5,164.0,-0.6582649570010259,1.6683751211685862,-0.6146191942053718,272.0,0.005928853754940711
34,GME,2021-06-11,287.5,7.0,8.15,7.575,7.55,75.0,0.32913409894964724,1.6282212220528163,0.35220772442380827,22.35,24.2,23.275,21.8,79.0,-0.6887791450755782,1.6763389769218149,-0.6394711716584569,272.0,0.005928853754940711
35,GME,2021-06-11,290.0,6.6,7.45,7.025,6.6,332.0,0.30370750720318596,1.652945145620868,0.330030364978522,24.15,25.85,25.0,25.8,235.0,-0.7076906751715021,1.6736132881045915,-0.6645901849685916,272.0,0.005928853754940711
36,GME,2021-06-11,292.5,5.8,6.8,6.3,6.2,56.0,0.2778711046962256,1.6474975217376837,0.3052467271049757,26.05,27.85,26.950000000000003,26.45,25.0,-0.7418700515572143,1.6933298578073965,-0.6859486947941132,272.0,0.005928853754940711
37,GME,2021-06-11,295.0,5.35,6.2,5.775,5.9,194.0,0.25680910574867216,1.662142584355309,0.28425174130091924,27.95,29.9,28.924999999999997,30.0,55.0,-0.7639402676308004,1.7102301127612478,-0.7064165567954546,272.0,0.005928853754940711
38,GME,2021-06-11,297.5,4.8,5.7,5.25,5.5,112.0,0.23560516289949246,1.6703209265186016,0.26354613127967014,29.9,31.45,30.674999999999997,31.45,27.0,-0.7845823215051114,1.6885720818918737,-0.7312156041976929,272.0,0.005928853754940711
