,symbol,expiry,tte,und_price,0.95,0.85,0.7,0.5,0.3,0.15,0.05,0.95_str,0.85_str,0.7_str,0.5_str,0.3_str,0.15_str,0.05_str
0,ROKU,2021-06-25,0.009881422924901186,414.20001220703125,0.5464337464784484,0.5165133131655264,0.5185891904430975,0.5382377500571033,0.5792429870410775,0.652328174896446,0.7654020411884522,380.229955215826,394.1025396977564,404.6324134057936,415.71340309253173,427.982919719472,444.2875810404117,471.1819906896531
1,ROKU,2021-07-02,0.029644268774703556,414.4849853515625,0.5673891872994676,0.5346524036606616,0.5267762742980245,0.5465422058791101,0.5859171976354803,0.6247050193491192,0.7248329297355031,354.756225158587,378.6539424694693,396.96026621245704,416.2946239400765,438.7721808164266,465.55535867684296,512.470098882187
2,ROKU,2021-07-09,0.04940711462450593,414.0199890136719,0.541031353492319,0.5055683677502552,0.5026055222376047,0.5186307116526606,0.5425237673991608,0.5671799294742385,0.6364326979695267,342.66378192642856,371.3478642974194,393.44052185028534,417.11174239831104,444.0959426829938,475.385016762516,527.657433029609
3,ROKU,2021-07-16,0.0691699604743083,413.8399963378906,0.5463238774504234,0.5111143012648669,0.5078330836693993,0.5146951422645598,0.5303881405257549,0.55822234011258,0.619585051346205,330.70134323332366,364.0120115958153,390.09358457399503,418.2293112240032,450.03591877382394,487.2019250865583,548.4111205706628
4,ROKU,2021-07-23,0.08893280632411067,414.239990234375,0.5402228774329934,0.5058021923520011,0.5050056128415819,0.5182678216024347,0.5304840696233897,0.5509957631584205,-1.0,322.17173845394944,358.541620148459,387.3603342231639,419.18337626155505,456.0347717450943,497.76020415853895,-1.0
5,ROKU,2021-07-30,0.10869565217391304,414.1499938964844,0.5385045474944998,0.5096160951105317,0.5099073334303604,0.5155209244744631,0.5311141074479647,0.5488635915403116,-1.0,314.2642481961356,352.92261628038324,384.6193255489302,420.2027209670716,460.93175144426095,507.93737821907314,-1.0
6,ROKU,2021-08-20,0.16798418972332016,414.1499938964844,0.5853270082972587,0.5599468873096786,0.554067471040917,0.5605445166643281,0.5760263021261456,-1.0,-1.0,287.2341983226178,335.2067606375539,377.2694306753897,425.2570739746355,482.00034690649045,-1.0,-1.0
7,ROKU,2021-09-17,0.24703557312252963,414.1499938964844,0.5666669119518182,0.5410366411249068,0.5360089100211759,0.5441061706746005,0.5491937021017103,-1.0,-1.0,271.080678379741,324.8602548492006,373.0929450195869,429.5140807974187,496.01286058335245,-1.0,-1.0
8,ROKU,2021-10-15,0.32608695652173914,414.1499938964844,0.5604509002882854,0.5341562933370999,0.5250550405702966,0.5312563049852513,0.5345490245553288,0.5387149969337292,-1.0,257.29353211135816,316.0746312031654,370.03889190230024,433.64391923113476,509.23323328168914,597.4438009008722,-1.0
9,ROKU,2022-01-21,0.6027667984189723,414.1499938964844,0.5568314316750724,0.5352594365500416,0.5288971222282874,0.516972398782428,0.5260332704294156,0.5313087534273071,-1.0,223.3540992177758,293.72985538859444,363.5853352408632,449.26196236999976,557.8666565918986,691.6226898619655,-1.0
10,ROKU,2022-06-17,1.017786561264822,414.2300109863281,0.5597866281764226,0.5372780499414906,0.5311895072727278,0.5344016550952735,0.5281621030092025,-1.0,-1.0,191.9907779847797,273.6918242786703,361.2570623939621,479.0988450839176,631.3466117206258,-1.0,-1.0
11,ROKU,2022-09-16,1.274703557312253,414.239990234375,0.5554358785992891,0.5325013477513102,0.5256816247422416,0.5100862610418274,0.5254633566995387,-1.0,-1.0,179.72620152657834,266.08226628207797,361.8342745155099,488.9082524596918,674.284446880207,-1.0,-1.0
12,ROKU,2023-01-20,1.6304347826086956,414.26800537109375,0.5581083527084636,0.5338024162122039,0.5154498963812195,0.5000376583012486,-1.0,-1.0,-1.0,165.3444108206975,257.7788261768846,364.22546607200604,508.2915025981636,-1.0,-1.0,-1.0
