,symbol,expiry,tte,und_price,0.95,0.85,0.7,0.5,0.3,0.15,0.05
0,ROKU,2021-06-25,0.009881422924901186,414.20001220703125,0.5464337464784484,0.5165133131655264,0.5185891904430975,0.5382377500571033,0.5792429870410775,0.652328174896446,0.7654020411884522
1,ROKU,2021-07-02,0.029644268774703556,414.4849853515625,0.5673891872994676,0.5346524036606616,0.5267762742980245,0.5465422058791101,0.5859171976354803,0.6247050193491192,0.7248329297355031
2,ROKU,2021-07-09,0.04940711462450593,414.0199890136719,0.541031353492319,0.5055683677502552,0.5026055222376047,0.5186307116526606,0.5425237673991608,0.5671799294742385,0.6364326979695267
3,ROKU,2021-07-16,0.0691699604743083,413.8399963378906,0.5463238774504234,0.5111143012648669,0.5078330836693993,0.5146951422645598,0.5303881405257549,0.55822234011258,0.619585051346205
4,ROKU,2021-07-23,0.08893280632411067,414.239990234375,0.5402228774329934,0.5058021923520011,0.5050056128415819,0.5182678216024347,0.5304840696233897,0.5509957631584205,-1.0
5,ROKU,2021-07-30,0.10869565217391304,414.1499938964844,0.5385045474944998,0.5096160951105317,0.5099073334303604,0.5155209244744631,0.5311141074479647,0.5488635915403116,-1.0
6,ROKU,2021-08-20,0.16798418972332016,414.1499938964844,0.5853270082972587,0.5599468873096786,0.554067471040917,0.5605445166643281,0.5760263021261456,-1.0,-1.0
7,ROKU,2021-09-17,0.24703557312252963,414.1499938964844,0.5666669119518182,0.5410366411249068,0.5360089100211759,0.5441061706746005,0.5491937021017103,-1.0,-1.0
8,ROKU,2021-10-15,0.32608695652173914,414.1499938964844,0.5604509002882854,0.5341562933370999,0.5250550405702966,0.5312563049852513,0.5345490245553288,0.5387149969337292,-1.0
9,ROKU,2022-01-21,0.6027667984189723,414.1499938964844,0.5568314316750724,0.5352594365500416,0.5288971222282874,0.516972398782428,0.5260332704294156,0.5313087534273071,-1.0
10,ROKU,2022-06-17,1.017786561264822,414.2300109863281,0.5597866281764226,0.5372780499414906,0.5311895072727278,0.5344016550952735,0.5281621030092025,-1.0,-1.0
11,ROKU,2022-09-16,1.274703557312253,414.239990234375,0.5554358785992891,0.5325013477513102,0.5256816247422416,0.5100862610418274,0.5254633566995387,-1.0,-1.0
12,ROKU,2023-01-20,1.6304347826086956,414.26800537109375,0.5581083527084636,0.5338024162122039,0.5154498963812195,0.5000376583012486,-1.0,-1.0,-1.0
